Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
N1,08/08/15,Feyenoord,Utrecht,3,2,H,1,0,H,1.44,4.75,6,1.42,4.33,6.75,1.45,3.9,6,1.4,4.33,6.5,1.45,4.79,7.63,1.4,4.5,6.5,1.45,4.75,7,41,1.45,1.42,5,4.55,7.66,6.63,35,1.57,1.52,2.55,2.42,22,-1.25,2.01,1.95,1.93,1.88
N1,08/08/15,Roda,Heracles,3,1,H,1,1,D,2.15,3.5,3.2,2.1,3.4,3.2,2.1,3.1,3.2,2.2,3.6,2.9,2.3,3.67,3.1,2.15,3.4,3,2.25,3.6,3.1,41,2.3,2.2,3.67,3.46,3.2,3.03,35,1.7,1.64,2.33,2.19,22,-0.25,2.01,1.95,1.93,1.87
N1,09/08/15,AZ Alkmaar,Ajax,0,3,A,0,3,A,3,3.5,2.25,2.85,3.3,2.35,2.7,3.1,2.4,2.88,3.4,2.2,3.02,3.65,2.35,2.75,3.4,2.3,3.1,3.6,2.3,42,3.1,2.86,3.65,3.43,2.45,2.31,38,1.73,1.67,2.26,2.14,23,0.25,1.9,1.84,2.08,2
N1,09/08/15,Willem II,Vitesse,1,1,D,0,0,D,3,3.4,2.3,2.95,3.4,2.25,,,,2.8,3.4,2.2,3.02,3.7,2.33,2.8,3.5,2.25,,,,31,3.02,2.95,3.7,3.42,2.33,2.26,30,1.76,1.7,2.23,2.12,18,0.25,1.91,1.85,2.05,1.99
N1,11/08/15,Den Haag,PSV Eindhoven,2,2,D,1,1,D,5.5,4,1.57,5,4.1,1.57,5,3.7,1.55,5,4,1.55,5.69,4.42,1.59,4.6,4.2,1.57,5.25,4.5,1.6,38,5.83,5.27,4.55,4.19,1.62,1.56,33,1.53,1.49,2.69,2.53,23,1,1.93,1.87,2.04,1.96
N1,11/08/15,Heerenveen,Graafschap,3,1,H,2,0,H,1.55,4.33,5.25,1.53,4.25,5.25,1.55,3.7,5,1.57,4.25,4.75,1.63,4.35,5.43,1.5,4.2,5.5,1.62,4.33,5.2,38,1.63,1.57,4.5,4.18,5.65,5.1,31,1.53,1.49,2.65,2.51,23,-1,2.09,2.01,1.86,1.82
N1,12/08/15,Groningen,Twente,1,1,D,0,1,A,2.45,3.4,2.75,2.45,3.3,2.7,2.5,3.1,2.6,2.4,3.3,2.62,2.59,3.55,2.75,2.5,3.3,2.6,2.55,3.6,2.7,39,2.6,2.48,3.6,3.39,2.85,2.66,39,1.78,1.71,2.22,2.08,22,0,1.92,1.85,2.06,1.98
N1,12/08/15,Nijmegen,Excelsior,1,0,H,0,0,D,1.75,3.75,4.5,1.75,3.75,4.2,1.75,3.3,4.2,1.75,3.5,4.2,1.81,3.89,4.5,1.83,3.6,3.8,1.83,3.8,4.33,40,1.83,1.77,3.89,3.69,4.6,4.22,38,1.74,1.67,2.25,2.15,24,-0.75,2.09,2.02,1.89,1.82
N1,12/08/15,Zwolle,Cambuur,2,2,D,2,0,H,1.85,3.6,4,1.85,3.6,3.8,1.85,3.2,3.8,1.85,3.7,3.7,1.84,3.86,4.38,1.75,3.75,4,1.83,3.8,4.3,34,1.9,1.82,3.86,3.62,4.38,4.02,33,1.76,1.69,2.2,2.11,23,-0.5,1.9,1.83,2.09,2.01
N1,14/08/15,Vitesse,Roda,3,0,H,1,0,H,1.45,4.75,6,1.4,4.75,6.25,1.35,4.2,7.5,1.4,5,7,1.47,4.99,7.03,1.44,4.33,6,1.5,4.8,6.5,43,1.5,1.43,5,4.63,7.55,6.51,37,1.53,1.47,2.7,2.56,25,-1.25,2.08,2,1.87,1.83
