Div,Date,HomeTeam,AwayTeam,HTR,FTR,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HS,AS,HST,AST,HHW,AHW,HBP,ABP,B365H,B365D,B365A,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA
T1,14/08/15,Fenerbahce,Eskisehirspor,H,H,,,,,,,,,,,,,,,,,,,1.4,4.75,7,,,,1.4,4.6,6.75,,,,1.45,3.9,6.5,1.4,4.2,7,1.42,4.81,8.87,,,,,,,,,,,,,1.4,4.6,7.5,1.36,4.5,7.5,44,1.45,1.4,4.81,4.44,8.87,7.58
T1,15/08/15,Buyuksehyr,Antalyaspor,A,A,,,,,,,,,,,,,,,,,,,1.7,3.5,5.25,,,,1.78,3.5,4.33,,,,1.7,3.5,4.4,1.67,3.5,4.75,1.71,3.76,5.53,,,,,,,,,,,,,1.7,3.6,5,1.73,3.4,4.6,40,1.85,1.7,3.8,3.57,5.53,4.78
T1,15/08/15,Sivasspor,Galatasaray,H,D,,,,,,,,,,,,,,,,,,,3.4,3.5,2.05,,,,3.4,3.25,2.1,,,,3.1,3.3,2.1,3.1,3.4,2.05,3.4,3.6,2.18,,,,,,,,,,,,,3.2,3.5,2.15,3.1,3.3,2.15,44,3.4,3.23,3.6,3.38,2.19,2.12
T1,16/08/15,Gaziantepspor,Kasimpasa,D,A,,,,,,,,,,,,,,,,,,,2.63,3.3,2.6,,,,2.6,3.4,2.5,,,,2.6,3.1,2.6,2.62,3.25,2.4,2.76,3.48,2.63,,,,,,,,,,,,,2.7,3.4,2.5,2.62,3.25,2.5,44,2.8,2.65,3.48,3.26,2.7,2.53
T1,15/08/15,Trabzonspor,Bursaspor,D,H,,,,,,,,,,,,,,,,,,,2.25,3.4,3.1,,,,2.25,3.4,2.9,,,,2.3,3.2,2.8,2.25,3.1,2.9,2.37,3.35,3.23,,,,,,,,,,,,,2.3,3.4,3,2.2,3.3,3,44,2.4,2.26,3.5,3.26,3.3,3.04
T1,16/08/15,Konyaspor,Akhisar Belediyespor,A,D,,,,,,,,,,,,,,,,,,,1.91,3.4,4,,,,1.91,3.25,4,,,,2,3.3,3.3,1.85,3.2,3.8,1.96,3.46,4.34,,,,,,,,,,,,,1.9,3.4,4.1,2,3.2,3.6,44,2,1.92,3.5,3.32,4.34,3.91
T1,16/08/15,Mersin Idman Yurdu,Besiktas,A,A,,,,,,,,,,,,,,,,,,,3.4,3.3,2.15,,,,3.4,3.2,2.1,,,,2.8,3.2,2.3,3.25,3.2,2.1,3.54,3.47,2.18,,,,,,,,,,,,,3.25,3.4,2.15,3.2,3.2,2.15,44,3.55,3.3,3.47,3.26,2.3,2.14
T1,16/08/15,Osmanlispor,Kayserispor,D,D,,,,,,,,,,,,,,,,,,,2.3,3.2,3.2,,,,2.3,3.2,3,,,,2.3,3.2,2.8,2.3,3,3,2.4,3.28,3.24,,,,,,,,,,,,,2.38,3.2,3,2.3,3,3.1,41,2.4,2.32,3.3,3.13,3.24,3.05
T1,17/08/15,Genclerbirligi,Rizespor,A,A,,,,,,,,,,,,,,,,,,,2.1,3.3,3.5,,,,2.05,3.3,3.4,,,,2.1,3.3,3.1,2.05,3.1,3.4,2.14,3.44,3.67,,,,,,,,,,,,,2.1,3.4,3.4,2.1,3.25,3.25,43,2.16,2.08,3.44,3.3,3.67,3.39
T1,21/08/15,Kasimpasa,Buyuksehyr,H,H,,,,,,,,,,,,,,,,,,,2.38,3.4,2.88,,,,2.3,3.25,2.95,,,,2.3,3.2,2.8,2.38,3.1,2.8,2.51,3.43,2.98,,,,,,,,,,,,,2.45,3.5,2.8,2.3,3.25,2.88,37,2.51,2.39,3.5,3.28,3,2.84
